,abbreviation,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,pace,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,Team_Id
75,DEPAUL,47.2,8.8,0.481,0.43,0.356,0.735,0.262,-8.299999999999997,99.5,29.9,60.7,8.5,0.538,0.466,0.402,0.73,0.293,107.8,30.0,9.2,0.402,0.361,51.0,0.575,0.536,69.0,2.09,9.6,7.78,0.313,0.326,49.0,0.523,17.6,0.477,0.281,1177
76,DETROIT-MERCY,48.0,6.9,0.512,0.445,0.384,0.664,0.255,-10.399999999999991,102.4,27.6,51.0,10.2,0.57,0.5,0.477,0.692,0.33,112.8,31.1,8.6,0.371,0.38,52.9,0.599,0.57,74.3,-10.72,8.7,-1.62,0.362,0.372,47.1,0.541,17.0,0.486,0.258,1178
77,DRAKE,53.2,6.4,0.482,0.409,0.298,0.756,0.225,-8.299999999999997,100.5,26.9,49.7,12.0,0.53,0.461,0.306,0.695,0.212,108.8,30.8,9.6,0.374,0.369,52.5,0.556,0.516,70.0,-4.71,8.6,1.91,0.421,0.345,47.5,0.521,15.5,0.456,0.226,1179
78,DREXEL,54.3,8.1,0.5,0.435,0.311,0.666,0.207,-4.799999999999997,103.3,30.9,51.0,9.0,0.526,0.462,0.389,0.69,0.269,108.1,29.9,8.9,0.36,0.357,50.2,0.557,0.521,71.4,-7.43,8.1,-2.56,0.373,0.345,49.8,0.526,15.7,0.489,0.281,1180
79,DUKE,47.5,10.9,0.548,0.475,0.393,0.762,0.299,15.200000000000003,115.7,31.6,46.6,6.7,0.475,0.432,0.312,0.71,0.222,100.5,29.6,6.8,0.288,0.293,48.1,0.51,0.489,69.9,21.56,8.7,10.91,0.383,0.378,51.9,0.588,14.2,0.536,0.757,1181
80,DUQUESNE,51.1,10.0,0.489,0.428,0.371,0.676,0.251,-5.299999999999997,99.3,29.0,60.5,13.1,0.499,0.438,0.333,0.707,0.235,104.6,30.2,8.3,0.343,0.359,50.6,0.533,0.479,71.0,-3.06,6.9,0.69,0.369,0.334,49.4,0.523,17.4,0.483,0.313,1182
81,EAST-CAROLINA,55.0,13.2,0.458,0.398,0.375,0.657,0.246,-2.700000000000003,94.8,30.7,53.2,9.7,0.447,0.392,0.272,0.725,0.197,97.5,31.0,9.8,0.34,0.325,49.6,0.483,0.426,66.8,-0.49,7.6,1.33,0.372,0.32,50.4,0.493,17.8,0.445,0.455,1187
82,EAST-TENNESSEE-STATE,53.8,13.6,0.555,0.488,0.432,0.702,0.304,13.600000000000009,110.2,31.3,47.3,9.9,0.487,0.417,0.372,0.722,0.268,96.6,27.2,9.6,0.394,0.354,46.9,0.528,0.458,71.4,7.31,11.6,-2.11,0.352,0.382,53.1,0.587,18.0,0.546,0.771,1190
83,EASTERN-ILLINOIS,57.5,10.7,0.487,0.417,0.271,0.731,0.198,4.099999999999994,103.0,30.4,51.9,8.0,0.49,0.431,0.385,0.701,0.27,98.9,31.0,8.1,0.334,0.354,51.0,0.528,0.469,70.5,-5.35,9.4,-5.05,0.376,0.372,49.0,0.519,15.0,0.444,0.483,1183
84,EASTERN-KENTUCKY,56.3,10.0,0.495,0.428,0.374,0.705,0.264,-6.099999999999994,99.7,26.2,55.7,9.3,0.507,0.444,0.415,0.73,0.303,105.8,32.2,10.3,0.362,0.349,53.2,0.55,0.497,69.7,-8.65,8.4,-2.44,0.419,0.321,46.8,0.533,17.3,0.506,0.387,1184
85,EASTERN-MICHIGAN,48.3,13.1,0.5,0.449,0.35,0.725,0.254,6.700000000000003,108.4,34.3,64.5,6.0,0.488,0.422,0.475,0.717,0.341,101.7,34.0,9.1,0.399,0.332,50.1,0.537,0.482,71.2,-0.18,13.4,0.16,0.301,0.343,49.9,0.538,14.3,0.494,0.485,1185
86,EASTERN-WASHINGTON,44.5,12.5,0.551,0.479,0.342,0.77,0.263,4.300000000000011,112.4,27.6,51.7,7.4,0.508,0.442,0.361,0.719,0.259,108.1,27.9,9.1,0.36,0.371,49.1,0.545,0.482,68.0,-2.77,6.6,-4.43,0.375,0.379,50.9,0.587,15.3,0.54,0.647,1186
87,ELON,54.8,6.1,0.525,0.445,0.302,0.685,0.207,4.8999999999999915,106.1,25.0,42.1,9.6,0.483,0.42,0.263,0.704,0.186,101.2,26.3,8.4,0.395,0.319,49.8,0.512,0.486,69.2,0.24,7.3,-1.39,0.454,0.355,50.2,0.55,14.6,0.52,0.563,1189
88,EVANSVILLE,55.3,9.1,0.49,0.454,0.447,0.713,0.318,1.2000000000000028,102.3,27.2,55.4,11.0,0.488,0.421,0.396,0.706,0.279,101.1,27.2,8.1,0.397,0.339,49.4,0.529,0.475,67.0,1.45,7.7,2.42,0.197,0.366,50.6,0.536,15.4,0.476,0.485,1191
89,FAIRFIELD,56.4,7.3,0.513,0.442,0.272,0.682,0.186,-1.2000000000000028,100.5,24.4,47.2,7.1,0.495,0.439,0.32,0.677,0.216,101.7,28.1,8.9,0.335,0.331,51.5,0.523,0.494,71.7,-4.75,7.4,-3.85,0.421,0.335,48.5,0.536,16.5,0.52,0.516,1193
90,FAIRLEIGH-DICKINSON,48.5,7.0,0.499,0.44,0.362,0.765,0.277,-3.200000000000003,103.2,27.8,56.8,6.9,0.511,0.451,0.431,0.695,0.299,106.4,33.3,8.7,0.347,0.342,52.7,0.548,0.509,70.2,-9.28,8.9,-5.31,0.354,0.332,47.3,0.544,16.5,0.5,0.367,1192
91,FLORIDA-AM,49.7,9.1,0.475,0.423,0.373,0.659,0.246,-9.700000000000003,97.7,25.8,51.7,6.6,0.529,0.456,0.341,0.676,0.231,107.4,33.4,9.2,0.407,0.362,54.3,0.555,0.52,72.2,-20.88,8.9,-11.85,0.299,0.348,45.7,0.508,16.1,0.456,0.233,1197
92,FLORIDA-ATLANTIC,48.8,7.4,0.467,0.411,0.304,0.703,0.213,-5.299999999999997,98.9,27.0,42.4,7.7,0.504,0.451,0.352,0.696,0.245,104.2,30.6,8.3,0.292,0.365,52.7,0.537,0.486,70.2,-7.95,8.0,-1.98,0.348,0.319,47.3,0.501,14.2,0.46,0.333,1194
93,FLORIDA-GULF-COAST,52.3,9.7,0.554,0.499,0.329,0.702,0.231,14.5,113.8,33.9,49.6,7.1,0.484,0.425,0.349,0.68,0.238,99.3,28.1,8.8,0.388,0.306,46.1,0.517,0.5,69.3,2.26,8.7,-3.42,0.315,0.347,53.9,0.579,15.3,0.569,0.765,1195
94,FLORIDA-INTERNATIONAL,43.0,5.9,0.505,0.454,0.291,0.75,0.218,-4.900000000000006,103.1,30.5,52.7,9.8,0.527,0.465,0.357,0.726,0.259,108.0,27.8,9.7,0.348,0.354,48.8,0.561,0.525,66.5,-8.1,8.8,-3.27,0.307,0.332,51.2,0.54,17.0,0.508,0.226,1198
95,FLORIDA-STATE,49.3,13.7,0.537,0.483,0.384,0.689,0.265,13.799999999999997,113.1,33.6,49.5,7.1,0.479,0.416,0.373,0.715,0.267,99.3,29.5,6.9,0.361,0.349,47.3,0.52,0.454,72.6,18.87,10.2,8.87,0.313,0.347,52.7,0.566,14.1,0.544,0.743,1199
96,FLORIDA,47.2,11.8,0.516,0.45,0.402,0.729,0.293,16.099999999999994,110.0,31.8,40.9,7.5,0.458,0.41,0.341,0.706,0.241,93.9,29.1,7.8,0.314,0.305,48.7,0.498,0.458,70.1,22.4,10.7,11.01,0.366,0.358,51.3,0.556,14.6,0.503,0.75,1196
97,FORDHAM,57.9,9.3,0.49,0.416,0.266,0.726,0.193,-3.6000000000000085,96.3,23.4,65.7,11.4,0.531,0.462,0.428,0.715,0.306,99.9,31.0,9.6,0.384,0.359,55.7,0.568,0.526,66.8,-1.97,14.5,1.36,0.444,0.334,44.3,0.52,17.2,0.481,0.406,1200
98,FRESNO-STATE,48.6,11.3,0.511,0.455,0.408,0.672,0.274,4.700000000000003,102.5,27.5,53.6,8.0,0.479,0.416,0.446,0.71,0.316,97.8,27.0,8.3,0.381,0.332,49.4,0.526,0.467,70.1,4.37,11.7,2.31,0.317,0.352,50.6,0.543,16.6,0.503,0.606,1201
99,FURMAN,57.1,7.3,0.555,0.473,0.321,0.697,0.224,11.5,109.1,28.0,51.5,7.2,0.488,0.424,0.336,0.7,0.235,97.6,26.0,8.8,0.41,0.312,48.3,0.522,0.502,67.4,1.46,10.3,-3.75,0.427,0.385,51.7,0.579,16.8,0.538,0.657,1202
100,GARDNER-WEBB,53.2,9.7,0.534,0.479,0.43,0.624,0.268,9.5,106.1,31.9,56.9,8.9,0.479,0.418,0.397,0.689,0.273,96.6,27.3,9.0,0.355,0.343,47.2,0.518,0.458,71.4,-3.08,12.1,-5.71,0.29,0.379,52.8,0.555,17.1,0.52,0.576,1205
101,GEORGE-MASON,45.3,7.2,0.494,0.448,0.395,0.747,0.295,3.4000000000000057,105.2,32.0,51.9,9.7,0.485,0.425,0.281,0.697,0.196,101.8,24.0,8.6,0.366,0.33,45.0,0.514,0.48,69.2,3.01,7.1,1.28,0.276,0.336,55.0,0.541,15.9,0.491,0.588,1206
102,GEORGE-WASHINGTON,56.8,9.9,0.495,0.424,0.366,0.745,0.273,0.3999999999999915,104.3,32.5,56.1,9.5,0.502,0.445,0.269,0.727,0.195,103.9,26.1,10.4,0.324,0.354,47.0,0.532,0.489,67.0,2.37,8.2,2.11,0.383,0.371,53.0,0.538,16.6,0.456,0.571,1203
103,GEORGETOWN,59.4,11.5,0.52,0.461,0.426,0.733,0.312,2.700000000000003,104.7,28.9,50.0,9.5,0.474,0.422,0.388,0.699,0.272,102.0,30.3,9.8,0.324,0.324,49.4,0.515,0.468,70.2,11.18,7.7,9.31,0.337,0.349,50.6,0.562,17.7,0.518,0.438,1207
104,GEORGIA-SOUTHERN,40.7,8.8,0.52,0.441,0.4,0.664,0.266,3.1000000000000085,106.7,26.0,51.7,10.0,0.503,0.434,0.34,0.667,0.227,103.6,32.4,6.8,0.411,0.339,53.2,0.531,0.5,70.5,-3.63,9.6,-2.83,0.438,0.362,46.8,0.549,14.6,0.502,0.545,1204
105,GEORGIA-STATE,45.1,14.0,0.534,0.469,0.349,0.647,0.226,5.599999999999994,104.8,30.4,58.0,7.5,0.485,0.411,0.398,0.711,0.283,99.2,28.6,8.7,0.459,0.324,48.4,0.527,0.485,70.3,-0.33,10.1,-2.17,0.365,0.357,51.6,0.555,17.4,0.533,0.606,1209
106,GEORGIA-TECH,62.6,15.7,0.479,0.438,0.356,0.682,0.243,0.9000000000000057,97.0,28.0,55.2,9.3,0.459,0.398,0.273,0.701,0.191,96.1,30.6,9.8,0.369,0.33,50.2,0.491,0.437,69.3,7.82,9.5,8.21,0.248,0.331,49.8,0.513,16.9,0.473,0.568,1210
107,GEORGIA,51.3,9.8,0.485,0.439,0.408,0.757,0.309,1.7999999999999972,102.0,28.7,47.2,8.7,0.472,0.411,0.342,0.698,0.239,100.2,28.2,9.1,0.363,0.335,48.5,0.509,0.454,69.7,11.13,7.6,10.28,0.283,0.325,51.5,0.536,16.3,0.484,0.559,1208
108,GONZAGA,51.8,11.2,0.567,0.504,0.39,0.717,0.28,29.700000000000003,116.4,29.8,43.2,7.8,0.411,0.365,0.269,0.658,0.177,86.7,25.8,7.6,0.321,0.289,45.3,0.443,0.4,70.9,25.26,9.6,4.13,0.329,0.382,54.7,0.596,14.2,0.564,0.949,1211
109,GRAMBLING,43.8,6.9,0.48,0.433,0.384,0.663,0.255,-2.200000000000003,101.0,31.6,55.4,8.4,0.543,0.474,0.418,0.678,0.283,103.2,33.6,8.5,0.375,0.371,52.4,0.571,0.535,69.8,-17.29,12.5,-11.89,0.299,0.317,47.6,0.514,16.4,0.482,0.485,1212
110,GRAND-CANYON,53.5,6.7,0.493,0.436,0.412,0.665,0.274,8.099999999999994,102.6,29.1,49.5,8.3,0.478,0.42,0.301,0.697,0.21,94.5,27.0,9.2,0.35,0.326,49.1,0.51,0.471,71.2,-0.16,10.5,-4.22,0.342,0.331,50.9,0.527,15.5,0.49,0.71,1213
111,GREEN-BAY,48.8,10.6,0.491,0.443,0.382,0.689,0.263,3.5,103.2,30.2,51.0,6.8,0.501,0.432,0.323,0.666,0.215,99.7,28.0,7.9,0.383,0.36,48.8,0.528,0.477,76.8,-2.77,9.9,-2.83,0.297,0.322,51.2,0.527,15.5,0.494,0.563,1453
112,HAMPTON,48.5,10.1,0.46,0.407,0.343,0.712,0.245,-3.1000000000000085,97.1,31.7,44.3,8.1,0.498,0.434,0.424,0.679,0.288,100.2,28.7,7.9,0.352,0.36,49.3,0.534,0.475,70.9,-13.23,6.9,-9.92,0.336,0.316,50.7,0.501,16.9,0.453,0.452,1214
113,HARTFORD,50.3,9.2,0.475,0.402,0.326,0.699,0.228,-14.5,94.3,24.8,58.5,11.1,0.52,0.454,0.349,0.696,0.243,108.8,34.3,9.1,0.334,0.389,55.0,0.55,0.487,70.0,-15.85,10.1,-5.56,0.428,0.338,45.0,0.51,18.1,0.45,0.281,1216
114,HARVARD,57.7,13.3,0.52,0.447,0.331,0.743,0.246,9.0,106.5,29.2,53.8,7.7,0.467,0.412,0.387,0.681,0.264,97.5,28.6,9.8,0.349,0.313,48.9,0.505,0.465,67.5,2.3,9.3,-2.24,0.412,0.355,51.1,0.556,16.6,0.511,0.643,1217
115,HAWAII,59.9,5.3,0.488,0.423,0.366,0.715,0.262,-0.29999999999999716,98.9,28.3,44.4,9.1,0.505,0.449,0.384,0.667,0.256,99.2,28.7,10.0,0.33,0.339,50.9,0.535,0.503,68.3,-6.19,7.3,-4.92,0.399,0.325,49.1,0.527,17.6,0.488,0.467,1218
116,HIGH-POINT,53.1,9.4,0.49,0.432,0.376,0.744,0.279,-0.09999999999999432,101.4,29.0,52.9,10.0,0.514,0.44,0.322,0.678,0.218,101.5,26.7,9.9,0.408,0.363,48.8,0.54,0.492,66.8,-9.06,8.7,-6.28,0.307,0.377,51.2,0.535,16.9,0.457,0.484,1219
117,HOFSTRA,49.5,6.3,0.52,0.443,0.375,0.684,0.257,0.8999999999999915,111.1,31.1,52.1,8.3,0.524,0.462,0.285,0.724,0.207,110.2,29.1,7.3,0.338,0.366,49.7,0.553,0.512,69.0,-2.35,6.4,-1.9,0.415,0.367,50.3,0.55,13.2,0.497,0.469,1220
118,HOLY-CROSS,64.3,9.2,0.503,0.427,0.344,0.693,0.238,-2.8999999999999915,97.7,19.4,65.1,10.7,0.533,0.453,0.304,0.713,0.217,100.6,32.3,7.7,0.467,0.343,57.2,0.56,0.549,61.5,-5.26,15.3,-3.51,0.441,0.345,42.8,0.535,16.3,0.493,0.469,1221
119,HOUSTON-BAPTIST,52.5,7.0,0.503,0.453,0.375,0.699,0.262,1.9000000000000057,108.0,36.9,52.4,7.9,0.523,0.459,0.363,0.737,0.267,106.1,27.1,9.5,0.362,0.357,45.9,0.56,0.516,72.9,-7.3,8.6,-4.44,0.298,0.34,54.1,0.539,15.3,0.501,0.548,1223
120,HOUSTON,47.8,10.7,0.517,0.447,0.286,0.717,0.205,13.299999999999997,111.6,31.9,51.4,8.0,0.472,0.408,0.369,0.722,0.266,98.3,30.6,7.2,0.386,0.329,49.5,0.515,0.458,65.8,12.2,8.0,3.42,0.358,0.394,50.5,0.546,12.7,0.477,0.656,1222
121,HOWARD,42.5,10.1,0.436,0.39,0.449,0.657,0.295,-11.599999999999994,93.0,32.5,57.9,8.4,0.492,0.426,0.36,0.696,0.251,104.6,33.3,10.1,0.368,0.355,50.6,0.526,0.468,68.4,-16.97,7.7,-7.97,0.318,0.291,49.4,0.48,18.2,0.436,0.294,1224
122,IDAHO-STATE,42.6,6.7,0.504,0.434,0.379,0.684,0.259,-14.700000000000003,98.6,21.3,51.6,9.7,0.56,0.481,0.334,0.72,0.24,113.3,31.6,9.4,0.4,0.396,55.6,0.587,0.538,70.2,-15.1,10.2,-3.37,0.386,0.359,44.4,0.537,16.6,0.482,0.161,1226
123,IDAHO,52.2,7.9,0.501,0.433,0.399,0.723,0.288,2.799999999999997,105.2,30.9,52.7,8.8,0.492,0.415,0.422,0.741,0.313,102.4,25.0,7.8,0.435,0.35,47.4,0.54,0.466,67.9,-5.34,7.2,-5.89,0.371,0.367,52.6,0.542,15.9,0.471,0.576,1225
124,ILLINOIS-CHICAGO,55.8,11.1,0.509,0.444,0.399,0.711,0.283,-0.09999999999999432,102.2,32.2,51.5,10.2,0.475,0.422,0.317,0.732,0.232,102.3,29.7,10.1,0.295,0.357,47.9,0.514,0.45,74.0,-5.95,7.3,-3.63,0.353,0.365,52.1,0.547,19.0,0.488,0.472,1227
125,ILLINOIS-STATE,55.8,14.4,0.513,0.439,0.301,0.664,0.2,11.699999999999989,104.6,30.6,52.8,7.7,0.443,0.379,0.324,0.692,0.224,92.9,28.5,8.8,0.388,0.328,48.3,0.481,0.411,65.8,10.3,10.8,2.71,0.404,0.369,51.7,0.536,15.9,0.486,0.8,1229
126,ILLINOIS,52.6,6.5,0.512,0.445,0.318,0.687,0.219,3.799999999999997,103.7,28.7,45.6,7.5,0.495,0.434,0.298,0.727,0.217,99.9,26.2,7.7,0.367,0.334,48.8,0.529,0.492,68.9,10.54,8.1,9.25,0.362,0.369,51.2,0.539,15.7,0.488,0.571,1228
127,INCARNATE-WORD,49.2,10.4,0.527,0.455,0.452,0.694,0.314,-5.1000000000000085,103.6,22.6,47.4,10.5,0.507,0.461,0.38,0.727,0.276,108.7,32.2,9.4,0.271,0.339,54.3,0.546,0.506,73.3,-12.14,7.9,-5.62,0.372,0.388,45.7,0.563,16.6,0.495,0.414,1230
128,INDIANA-STATE,54.7,10.1,0.485,0.416,0.314,0.681,0.214,-3.799999999999997,97.2,22.2,48.7,11.7,0.477,0.419,0.424,0.692,0.293,101.0,28.8,7.7,0.31,0.373,53.3,0.519,0.44,70.1,-1.02,9.1,3.18,0.397,0.349,46.7,0.515,15.8,0.46,0.355,1232
129,INDIANA,50.9,11.8,0.552,0.479,0.341,0.729,0.249,9.200000000000003,112.3,36.3,47.3,11.1,0.487,0.429,0.368,0.705,0.259,103.1,28.0,8.9,0.342,0.337,44.9,0.525,0.477,69.5,14.63,8.7,8.16,0.387,0.38,55.1,0.582,18.2,0.541,0.529,1231
130,IONA,55.3,7.7,0.534,0.454,0.31,0.768,0.238,4.900000000000006,110.0,27.0,53.0,7.8,0.5,0.436,0.334,0.695,0.232,105.1,32.0,6.6,0.355,0.361,51.8,0.532,0.477,72.3,1.08,9.3,-2.47,0.4,0.397,48.2,0.569,14.6,0.493,0.629,1233
131,IOWA-STATE,53.6,8.9,0.55,0.472,0.276,0.7,0.194,11.900000000000006,112.5,25.6,51.9,9.1,0.49,0.428,0.256,0.704,0.18,100.6,31.6,6.6,0.359,0.346,52.3,0.518,0.475,70.6,20.51,10.8,11.94,0.393,0.4,47.7,0.572,12.6,0.518,0.686,1235
132,IOWA,62.4,9.4,0.525,0.455,0.349,0.688,0.24,3.299999999999997,107.8,31.8,60.1,8.8,0.51,0.445,0.275,0.685,0.188,104.5,32.2,10.4,0.368,0.358,49.9,0.535,0.495,72.8,10.01,9.9,7.54,0.373,0.379,50.1,0.554,16.0,0.499,0.559,1234
133,IPFW,54.6,11.0,0.579,0.496,0.264,0.725,0.191,10.599999999999994,114.0,29.1,54.4,6.6,0.524,0.443,0.313,0.747,0.234,103.4,23.3,8.3,0.42,0.383,46.7,0.558,0.487,75.1,0.38,10.1,-3.19,0.412,0.402,53.3,0.599,15.8,0.562,0.606,1236
134,IUPUI,51.5,7.3,0.525,0.451,0.334,0.683,0.228,-0.7000000000000028,107.7,29.5,49.9,10.6,0.534,0.472,0.414,0.756,0.313,108.4,28.1,8.0,0.344,0.361,50.6,0.577,0.53,72.0,-4.29,9.3,-1.62,0.38,0.388,49.4,0.551,15.0,0.49,0.438,1237
135,JACKSON-STATE,48.9,8.0,0.443,0.385,0.333,0.674,0.224,-3.5999999999999943,97.2,34.3,53.9,8.6,0.493,0.434,0.488,0.719,0.351,100.8,27.7,7.6,0.353,0.333,48.5,0.543,0.49,65.9,-15.42,9.3,-11.55,0.392,0.297,51.5,0.48,15.3,0.442,0.438,1238
136,JACKSONVILLE-STATE,57.5,10.8,0.528,0.459,0.346,0.714,0.247,2.4000000000000057,105.7,31.5,49.0,9.0,0.486,0.417,0.339,0.721,0.245,103.3,27.8,9.1,0.366,0.374,47.3,0.524,0.442,65.3,-2.85,6.8,-3.24,0.367,0.377,52.7,0.559,18.0,0.506,0.571,1240
137,JACKSONVILLE,50.7,5.7,0.553,0.466,0.342,0.736,0.251,3.3999999999999915,109.6,27.3,51.2,9.2,0.551,0.475,0.349,0.667,0.233,106.2,27.5,8.0,0.404,0.375,50.5,0.572,0.543,70.4,-10.21,11.4,-8.45,0.431,0.403,49.5,0.584,16.2,0.514,0.515,1239
138,JAMES-MADISON,50.0,8.8,0.504,0.444,0.359,0.717,0.257,-4.700000000000003,100.0,29.2,53.9,8.0,0.513,0.439,0.384,0.717,0.276,104.7,25.0,9.2,0.428,0.346,47.5,0.55,0.508,65.8,-5.64,8.8,-1.83,0.363,0.331,52.5,0.541,18.7,0.509,0.303,1241
139,KANSAS-STATE,60.0,10.3,0.527,0.461,0.412,0.694,0.286,6.400000000000006,106.4,29.5,55.5,9.5,0.496,0.431,0.334,0.729,0.244,100.0,32.3,9.3,0.34,0.382,50.8,0.533,0.455,67.5,14.8,11.4,10.48,0.363,0.362,49.2,0.56,16.8,0.518,0.6,1243
140,KANSAS,54.5,11.2,0.561,0.488,0.36,0.678,0.244,15.700000000000003,115.4,33.9,49.9,9.4,0.481,0.42,0.3,0.715,0.215,99.7,29.4,9.4,0.342,0.356,47.0,0.515,0.453,71.4,23.53,9.6,12.23,0.359,0.404,53.0,0.583,15.1,0.536,0.861,1242
141,KENNESAW-STATE,56.8,7.4,0.515,0.462,0.308,0.691,0.213,-2.4000000000000057,105.0,31.3,44.1,6.8,0.53,0.472,0.367,0.676,0.248,107.4,28.6,9.3,0.314,0.373,49.0,0.557,0.517,71.5,-8.44,7.1,-5.97,0.256,0.416,51.0,0.542,16.3,0.477,0.438,1244
142,KENT-STATE,45.5,9.7,0.484,0.428,0.328,0.719,0.236,5.599999999999994,107.0,38.7,51.9,5.7,0.497,0.435,0.333,0.703,0.234,101.4,29.6,8.3,0.356,0.348,46.0,0.53,0.483,70.7,0.88,8.9,-1.63,0.349,0.32,54.0,0.521,14.9,0.486,0.611,1245
143,KENTUCKY,51.6,13.0,0.529,0.473,0.409,0.704,0.288,18.0,113.8,33.2,44.0,7.7,0.475,0.424,0.335,0.676,0.227,95.8,27.1,6.4,0.333,0.306,46.8,0.507,0.483,74.3,23.88,8.1,10.49,0.316,0.353,53.2,0.564,13.4,0.529,0.842,1246
144,LA-SALLE,55.8,6.0,0.533,0.457,0.383,0.766,0.294,-1.5,107.4,25.6,55.6,9.0,0.543,0.467,0.331,0.724,0.239,108.9,27.6,8.8,0.384,0.394,50.6,0.573,0.513,69.1,1.91,9.1,2.94,0.42,0.364,49.4,0.575,16.6,0.524,0.5,1247
145,LAFAYETTE,53.1,8.5,0.497,0.43,0.297,0.711,0.211,-13.599999999999994,94.2,20.0,55.5,6.5,0.54,0.457,0.311,0.685,0.213,107.8,28.6,10.8,0.437,0.379,53.9,0.563,0.518,70.3,-14.68,7.0,-3.5,0.4,0.334,46.1,0.528,18.8,0.494,0.3,1248
146,LAMAR,53.0,7.5,0.526,0.459,0.411,0.669,0.275,7.799999999999997,108.0,31.9,53.0,12.4,0.512,0.461,0.415,0.705,0.292,100.2,29.2,8.2,0.314,0.322,49.4,0.55,0.524,70.7,-7.36,11.2,-7.93,0.37,0.362,50.6,0.555,16.1,0.516,0.559,1249
147,LEHIGH,54.5,8.5,0.555,0.479,0.324,0.772,0.251,7.5,106.7,23.4,52.8,7.5,0.501,0.434,0.276,0.732,0.202,99.2,23.7,9.0,0.382,0.347,48.3,0.532,0.488,70.4,1.54,9.4,-3.3,0.385,0.392,51.7,0.589,17.9,0.534,0.625,1250
148,LIBERTY,58.2,6.6,0.525,0.436,0.342,0.742,0.254,4.900000000000006,102.5,15.7,51.2,9.3,0.504,0.434,0.41,0.721,0.296,97.6,23.6,6.9,0.422,0.335,54.4,0.546,0.506,64.3,-5.51,10.1,-6.16,0.497,0.359,45.6,0.561,14.9,0.512,0.6,1251
149,LIPSCOMB,63.8,8.2,0.561,0.475,0.41,0.723,0.296,9.700000000000003,111.4,29.6,49.5,10.1,0.505,0.443,0.421,0.694,0.292,101.7,29.3,8.9,0.355,0.348,49.1,0.543,0.496,76.0,-1.55,8.7,-4.45,0.469,0.366,50.9,0.593,17.5,0.57,0.606,1252
150,LONG-BEACH-STATE,49.9,6.9,0.493,0.44,0.369,0.724,0.267,-4.799999999999997,102.9,31.7,50.2,9.9,0.528,0.463,0.369,0.701,0.259,107.7,32.0,9.4,0.343,0.378,50.5,0.559,0.508,71.5,-5.98,8.0,-0.6,0.303,0.351,49.5,0.533,16.9,0.479,0.441,1253
151,LONG-ISLAND-UNIVERSITY,43.6,9.2,0.485,0.435,0.385,0.687,0.264,2.799999999999997,102.8,36.8,50.7,9.5,0.488,0.427,0.367,0.704,0.258,100.0,28.7,8.9,0.352,0.351,46.0,0.526,0.468,68.5,-7.8,8.4,-8.51,0.289,0.345,54.0,0.522,17.4,0.472,0.625,1254
152,LONGWOOD,43.9,10.3,0.501,0.445,0.293,0.731,0.214,-18.299999999999997,94.7,21.8,48.3,6.7,0.545,0.477,0.322,0.697,0.224,113.0,33.9,11.2,0.343,0.396,55.3,0.57,0.519,71.0,-21.23,8.2,-6.16,0.342,0.327,44.7,0.533,19.4,0.505,0.2,1255
153,LOUISIANA-LAFAYETTE,50.3,7.1,0.524,0.467,0.415,0.695,0.288,7.700000000000003,111.4,36.7,45.4,8.1,0.533,0.473,0.359,0.697,0.25,103.7,26.9,8.3,0.334,0.36,45.8,0.562,0.53,73.3,-0.64,9.6,-3.28,0.333,0.343,54.2,0.559,15.4,0.529,0.636,1418
154,LOUISIANA-MONROE,54.4,6.0,0.487,0.425,0.26,0.669,0.174,-4.5,98.6,29.7,52.2,10.6,0.497,0.434,0.337,0.676,0.228,103.1,28.7,9.0,0.357,0.356,49.6,0.527,0.477,66.1,-7.88,6.9,-2.56,0.372,0.332,50.4,0.511,16.7,0.48,0.273,1419
155,LOUISIANA-STATE,46.5,9.4,0.502,0.451,0.316,0.696,0.22,-11.200000000000003,102.2,30.9,53.1,8.6,0.545,0.472,0.368,0.718,0.264,113.4,31.5,9.5,0.381,0.383,50.6,0.577,0.528,73.2,0.53,8.2,8.69,0.309,0.336,49.4,0.532,17.2,0.502,0.323,1261
156,LOUISIANA-TECH,59.6,13.7,0.533,0.467,0.345,0.709,0.245,15.099999999999994,109.1,29.1,56.3,8.3,0.473,0.414,0.264,0.683,0.181,94.0,25.7,8.1,0.343,0.343,47.6,0.501,0.452,70.8,5.2,9.5,-4.35,0.364,0.361,52.4,0.563,15.2,0.527,0.697,1256
